refcode,width,height,thickness,image_hint,icon_hint,platinumProductType,platinumProductSubType,platinumProductSuperType
PB_SoftCover_8x8_60pp,198,198,0,/images/admin/ppproductsize/pb_softcover_8x8_60pp_1730904566.webp,,1,102,NULL
FramedTile_10x8_White,270,202,0,/images/admin/ppproductsize/framedtile_10x8_white_1754915400.webp,NULL,430,43001,NULL
Canvas_F38_24x30,600,750,38,,NULL,4,401,NULL
Minisquare_4x4,108,108,0,,,409,40901,NULL
PB_LeatherLorenzo_8x8_Black_100pp,198,198,0,,,1,112,NULL
Gadget_IphoneSilicon_iPhoneXSmax_Black,68,148,0,,NULL,364,36404,NULL
Gadget_SonyPlastic_XperiaZ1_Black,74,141,0,,,387,38703,NULL
PB_CailuxCover_8x8_Gray_40pp,198,198,0,NULL,NULL,1,106,NULL
PB_LeatherLorenzo_8x6_Cream_20pp,208,146,0,/images/admin/ppproductsize/pb_leatherlorenzo_8x6_cream_20pp.webp,,1,112,NULL
PBLayFlat_StdCailuxCover_8x12_Black_20pp,200,300,0,/images/admin/ppproductsize/pblayflat_stdcailuxcover_8x12_black_20pp.webp,NULL,420,42016,NULL
Gadget_SamsungSilicon_Note10_Black,67,150,0,,NULL,371,37104,NULL
GreetingCard_Folded_7x5,178,127,0,,,6,631,NULL
Canvas_F18_20x16,500,400,18,/images/admin/ppproductsize/canvas_f18_20x16.webp,,4,401,NULL
PB_CailuxCover_8x8_Black_40pp,198,198,0,,NULL,1,106,NULL
JumperFront_M_FireRed,356,406,0,/images/admin/ppproductsize/jumperfront_m_firered.webp,NULL,425,42507,NULL
PB_CailuxCover_8x8_Gray_20pp,198,198,0,/images/admin/ppproductsize/pb_cailuxcover_8x8_gray_20pp.webp,NULL,1,106,NULL
Poster_8x12,210,297,0,/images/admin/ppproductsize/poster_8x12_1761675751.webp,NULL,7,700,NULL
Gadget_IphonePlastic_iPhone5_White,61,126,0,,,364,36403,NULL
Cal_SinglePoster_16x20,406,508,0,,NULL,2,224,NULL
CanvasBundleCluster_F18_52x56_P7,1321,1422,18,/images/admin/ppproductsize/canvasbundlecluster_f18_52x56_p7.webp,NULL,1295,129501,NULL
MetalDeskStand_8x10,202,338,0,,NULL,431,43101,NULL
PB_LeatherLorenzo_8x8_Cream_20pp,198,198,0,/images/admin/ppproductsize/pb_leatherlorenzo_8x8_cream_20pp.webp,,1,112,NULL
